"Name","Start","Stop"
"W.H. Auden","1907","1973"
"Francis Bacon","1561","1626"
"Thomas Wolfe","1900","1938"
"Patricia Highsmith","1921","1995"
"Federico Fellini","1920","1993"
"Ingmar Bergman","1918","2007"
"Morton Feldman","1926","1987"
"Wolfgang Amadeus Mozart","1756","1791"
"Ludwig van Beethoven","1770","1827"
"Soren Kierkegaard","1813","1855"
"Voltaire","1694","1778"
"Benjamin Franklin","1706","1790"
"Anthony Trollope","1815","1882"
"Jane Austen","1775","1817"
"Frederic Chopin","1810","1849"
"Gustave Flaubert","1821","1880"
"Thomas Mann","1875","1955"
"Karl Marx","1818","1883"
"Sigmund Freud","1856","1939"
"Carl Jung","1875","1961"
"Richard Strauss","1864","1949"
"Henri Mattise","1869","1954"
"Joan Miro","1893","1983"
"Gertrude Stein","1874","1946"
"Ernest Hemingway","1899","1961"
"Henry Miller","1891","1980"
"F Scott Fitzgerald","1896","1940"
"William Faulkner","1897","1962"
"Benjamin Britten","1913","1976"
"Simone de Beauvoir","1908","1986"
"Henri de Toulouse-Lautrec","1864","1901"
"Gustav Mahler","1860","1911"
"Ann Beattie","1947","2014"
"Gunter Grass","1927","2014"
"Tom Stoppard","1937","2014"
"Haruki Murakami","1949","2014"
"Toni Morrison","1931","2014"
"Joyce Carol Oates","1938","2014"
"Chuck Close","1940","2014"
"Francine Prose","1947","2014"
"John Adams","1735","1826"
"Steve Reich","1936","2014"
"Nicholson Baker","1957","2014"
"BF Skinner","1904","1990"
"Margaret Mead","1901","1978"
"Samuel Johnson","1709","1784"
"James Boswell","1740","1795"
"Immanuel Kant","1724","1804"
"William James","1842","1910"
"Henry James","1843","1916"
"Franz Kafka","1883","1924"
"James Joyce","1882","1941"
"Marcel Proust","1871","1922"
"Samuel Becket","1906","1989"
"Igor Stravinsky","1882","1971"
"Erik Satie","1866","1925"
"Pablo Picasso","1881","1973"
"T.S. Elliot","1888","1965"
"Henry Green","1905","1973"
"Somerset Maugham","1874","1965"
"Graham Greene","1904","1991"
"Joseph Cornell","1903","1972"
"Sylvia Plath","1932","1963"
"John Cheever","1912","1982"
"W.B. Yeats","1865","1939"
"Wallace Stevens","1879","1955"
"Kingsley Amis","1922","1995"
"Martin Amis","1949","2014"
"Umberto Eco","1932","2014"
"David Lynch","1946","2014"
"Maya Angelou","1928","2014"
"George Balanchine","1904","1983"
"Al Hirschfield","1903","2003"
"Truman Capote","1924","1984"
"H.L. Mencken","1880","1956"
"Philip Larkin","1922","1985"
"Frank Lloyd Wright","1867","1959"
"George Gershwin","1898","1937"
"Joseph Heller","1923","1999"
"James Dickey","1923","1997"
"Nikola Tesla","1856","1943"
"Glenn Gould","1932","1982"
"Flannery O'Connor","1925","1964"
"William Styron","1925","2006"
"Philip Roth","1933","2014"
"PG Wodehouse","1881","1975"
"Thomas Hobbes","1588","1679"
"John Milton","1608","1674"
"Renee Descarte","1596","1650"
"Friedrich Schiller","1759","1805"
"Franz Shubert","1797","1828"
"Franz List","1811","1886"
"Honore Balzac","1799","1850"
"Victor Hugo","1802","1885"
"Charles Dickens","1812","1870"
"Charles Darwin","1809","1882"
"Herman Melville","1819","1891"
"Nathaniel Hawthorne","1804","1864"
"Leo Tolstoy","1828","1910"
"Mark Twain","1835","1910"
"Alexander Graham Bell","1847","1922"
"Vincent Van Gogh","1853","1890"
"N.C. Wyeth","1882","1945"
"Georgia O'Keefe","1887","1986"
"Sergey Rachmaninoff","1873","1943"
"Vladimir Nabokov","1899","1977"
"Balthus","1908","2001"
"Le Corbusier","1887","1965"
"Buckminster Fuller","1895","1983"
"Paul Erdos","1913","1996"
"Andy Warhol","1928","1987"
"V.S. Pritchett","1900","1997"
"Edmund Wilson","1895","1972"
"John Updike","1932","2009"
"Albert Einstein","1879","1955"
"L. Frank Baum","1856","1919"
"Knut Hamsen","1859","1952"
"Willa Cather","1873","1947"
"Ayn Rand","1905","1982"
"George Orwell","1903","1950"
"James T. Farrell","1904","1979"
"Jackson Pollock","1912","1956"
"Carson McCullers","1917","1967"
"Jean Stafford","1915","1979"
"Donald Barthelme","1931","1989"
"Alice Munro","1931","2014"
"Jerzy Kosinski","1933","1991"
"Isaac Asimov","1919","1992"
"Oliver Sacks","1933","2014"
"Anne Rice","1941","2014"
"Charles Schulz","1922","2000"
"William Gass","1924","2014"
"Marina Abramovic","1946","2014"
"Stephen King","1947","2014"
"Saul Bellow","1915","2005"
"Gerhard Richter","1932","2014"
"Jonathan Franzen","1959","2014"
"Maira Kalman","1949","2014"
"Georges Simenon","1903","1989"
"Stephen Jay Gould","1941","2002"
"Bernard Malamud","1914","1986"
"Louis Khan","1901","1974"
"Edith Sitwell","1887","1964"
"Willem de Kooning","1904","1997"
"David Foster Wallace","1962","2008"
"Jean-Paul Sartre","1905","1980"
"Pyotr Ilyich Tchaikovsky","1840","1893"
