Name,Category,Activity,StartGMT,StopGMT
W.H. Auden,Poet,Working,7,12
W.H. Auden,Poet,Working,13,16
W.H. Auden,Poet,Drinking,18.5,22
W.H. Auden,Poet,Sleeping,22,7
Francis Bacon,Artist,Working,7,12
Francis Bacon,Artist,Drinking,14,2
Francis Bacon,Artist,Sleeping,2,6
Simone de Beauvoir,Philosopher,Working,10,13
Simone de Beauvoir,Philosopher,Visiting,13,18
Simone de Beauvoir,Philosopher,Working,18,21
Simone de Beauvoir,Philosopher,Social Events,21,23
Simone de Beauvoir,Philosopher,Sleeping,24,9
Thomas Wolfe,Writer,Working,24,6
Thomas Wolfe,Writer,Drinking,6,7
Thomas Wolfe,Writer,Sleeping,7,11
Thomas Wolfe,Writer,Working,1,4
Patricia Highsmith,Writer,Working,8,12
Patricia Highsmith,Writer,Drinking,7,8
Federico Fellini,Filmaker,Visiting,7,11
Federico Fellini,Filmaker,Sleeping,3,6
Ingmar Bergman,Filmaker,Working,9,12
Ingmar Bergman,Filmaker,Working,13,15
Ingmar Bergman,Filmaker,Sleeping,15,16
Ingmar Bergman,Filmaker,Walking,16,18
Ingmar Bergman,Filmaker,Visiting,18,22
Ingmar Bergman,Filmaker,Sleeping,23,8
Morton Feldman,Composer,Working,6,11
Morton Feldman,Composer,Walking,12,16
Wolfgang Amadeus Mozart,Composer,Working,7,9
Wolfgang Amadeus Mozart,Composer,Teaching,9,13
Wolfgang Amadeus Mozart,Composer,Visiting,13,17
Wolfgang Amadeus Mozart,Composer,Working,17,21
Wolfgang Amadeus Mozart,Composer,Visiting,21,23
Wolfgang Amadeus Mozart,Composer,Working,23,1
Wolfgang Amadeus Mozart,Composer,Sleeping,1,6
Ludwig van Beethoven,Composer,Working,7,15
Ludwig van Beethoven,Composer,Walking,15,18
Ludwig van Beethoven,Composer,Visiting,18,21
Ludwig van Beethoven,Composer,Sleeping,22,6
Soren Kierkegaard,Philosopher,Working,7,12
Soren Kierkegaard,Philosopher,Walking,12,17
Soren Kierkegaard,Philosopher,Drinking,17,18
Soren Kierkegaard,Philosopher,Working,18,22
Soren Kierkegaard,Philosopher,Sleeping,23,6
Voltaire,Philosopher,Working,6,14
Voltaire,Philosopher,Visiting,14,16
Voltaire,Philosopher,Working,16,20
Voltaire,Philosopher,Visiting,20,21
Voltaire,Philosopher,Working,21,1
Voltaire,Philosopher,Sleeping,1,6
Benjamin Franklin,Scientist,Sleeping,22,4
Benjamin Franklin,Scientist,Working,8,17
Benjamin Franklin,Scientist,Visiting,17,21
Anthony Trollope,Writer,Working,6,9
Jane Austen,Writer,Working,9,14
Jane Austen,Writer,Visiting,15,21
Frederic Chopin,Composer,Teaching,13,14
Frederic Chopin,Composer,Working,12,17
Frederic Chopin,Composer,Visiting,18,21
Gustave Flaubert,Writer,Walking,12,13
Gustave Flaubert,Writer,Working,22,2
Gustave Flaubert,Writer,Teaching,14,17
Gustave Flaubert,Writer,Sleeping,2,10
Henri de Toulouse-Lautrec,Artist,Working,8,11
Henri de Toulouse-Lautrec,Artist,Drinking,11,13
Henri de Toulouse-Lautrec,Artist,Sleeping,13,15
Henri de Toulouse-Lautrec,Artist,Working,15,18
Henri de Toulouse-Lautrec,Artist,Drinking,18,2
Henri de Toulouse-Lautrec,Artist,Working,23,1
Henri de Toulouse-Lautrec,Artist,Sleeping,3,8
Thomas Mann,Writer,Sleeping,12,8
Thomas Mann,Writer,Working,9,12
Thomas Mann,Writer,Working,17,19
Thomas Mann,Writer,Sleeping,16,17
Thomas Mann,Writer,Walking,19,20
Karl Marx,Philosopher,Working,9,19
Karl Marx,Philosopher,Working,21,23
Karl Marx,Philosopher,Sleeping,24,7
Sigmund Freud,Scientist,Working,8,12
Sigmund Freud,Scientist,Walking,14,15
Sigmund Freud,Scientist,Working,15,21
Sigmund Freud,Scientist,Walking,21,22
Sigmund Freud,Scientist,Working,22,1
Sigmund Freud,Scientist,Sleeping,1,7
Carl Jung,Scientist,Working,10,12
Carl Jung,Scientist,Walking,12,15
Carl Jung,Scientist,Visiting,15,18
Carl Jung,Scientist,Drinking,18,20
Carl Jung,Scientist,Sleeping,22,7
Gustav Mahler,Composer,Working,7,12
Gustav Mahler,Composer,Walking,13,18
Richard Strauss,Composer,Working,10,13
Richard Strauss,Composer,Working,15,16
Richard Strauss,Composer,Walking,16,18
Richard Strauss,Composer,Visiting,19,21
Richard Strauss,Composer,Sleeping,22,8
Henri Mattise,Artist,Working,9,12
Henri Mattise,Artist,Sleeping,13,14
